ID,Domain,Screen_or_State,Target_Route_or_Surface,Purpose,Required_Data_or_API,Notes,Route_Audited,Functional,Visual,States,Responsive,Tests,Screenshot_QA,Status
019,Authentication,Session Expired,global auth state,Reauthenticate safely,session/auth,,NO,NO,NO,NO,NO,NO,NO,TODO
020,Home,Customer Dashboard,/portal/customer/dashboard,Primary customer home,dashboard aggregate,,NO,NO,NO,NO,NO,NO,NO,TODO
021,Home,Operations Banner Details,/portal/customer/banner/:id,View eligible campaign/offer details,published banner detail,,NO,NO,NO,NO,NO,NO,NO,TODO
022,Home,Offers and Benefits List,/portal/customer/offers,Browse eligible customer offers,Operations content API,,NO,NO,NO,NO,NO,NO,NO,TODO
023,Home,Global Search Entry,/portal/customer/search,Search supported customer content,search APIs where supported,,NO,NO,NO,NO,NO,NO,NO,TODO
024,Membership & Card,Membership Dashboard,/portal/customer/membership,Membership and plan overview,membership aggregate,,NO,NO,NO,NO,NO,NO,NO,TODO
025,Membership & Card,Privilege Card,/portal/customer/card,Card and subscription summary,membership/card/subscription,,NO,NO,NO,NO,NO,NO,NO,TODO
026,Membership & Card,Digital Card,/portal/customer/card/digital,Full digital card,membership card API,,NO,NO,NO,NO,NO,NO,NO,TODO
027,Membership & Card,QR Card,/portal/customer/card/qr,Scannable signed identity token,card token API,,NO,NO,NO,NO,NO,NO,NO,TODO
028,Membership & Card,Membership Benefits,/portal/customer/membership/benefits,Eligible benefits and limits,plan benefits API,,NO,NO,NO,NO,NO,NO,NO,TODO
029,Membership & Card,Subscription Details,/portal/customer/membership/subscription,Plan contribution and validity,subscription API,,NO,NO,NO,NO,NO,NO,NO,TODO
030,Membership & Card,Entitlement Details,/portal/customer/membership/entitlement,Total/monthly entitlement,entitlement API,,NO,NO,NO,NO,NO,NO,NO,TODO
031,Membership & Card,Carry Forward Details,/portal/customer/membership/carry-forward,Carry-forward breakdown,entitlement ledger/config,,NO,NO,NO,NO,NO,NO,NO,TODO
032,Membership & Card,Benefit Usage History,/portal/customer/membership/usage,Applied benefit events,benefit application API,,NO,NO,NO,NO,NO,NO,NO,TODO
033,Membership & Card,Request Physical Card,/portal/customer/card/request,Submit supported card request,card request API,,NO,NO,NO,NO,NO,NO,NO,TODO
034,Membership & Card,Card Request Review,same request flow,Review request/address,card request draft,,NO,NO,NO,NO,NO,NO,NO,TODO
035,Membership & Card,Card Request Confirmation,same request flow,Confirm submission,card request response,,NO,NO,NO,NO,NO,NO,NO,TODO
036,Membership & Card,Card Request Tracking,/portal/customer/card/tracking,Track lifecycle,card request/events,,NO,NO,NO,NO,NO,NO,NO,TODO
037,Membership & Card,Card History,/portal/customer/card/history,Issue/activation/replacement events,card events API,,NO,NO,NO,NO,NO,NO,NO,TODO
038,Membership & Card,Report Lost Card,/portal/customer/card/lost,Block/report lost card,card lifecycle API,,NO,NO,NO,NO,NO,NO,NO,TODO
039,Membership & Card,Report Damaged Card,/portal/customer/card/damaged,Request damaged-card handling,card lifecycle API,,NO,NO,NO,NO,NO,NO,NO,TODO
040,Membership & Card,Replacement Card,/portal/customer/card/replacement,Request replacement,card lifecycle API,,NO,NO,NO,NO,NO,NO,NO,TODO
041,Membership & Card,Membership Renewal Overview,/portal/customer/membership/renew,Renewal eligibility and plan,renewal API/config,,NO,NO,NO,NO,NO,NO,NO,TODO
042,Membership & Card,Membership Renewal Review,same renewal flow,Review renewal values,renewal quote,,NO,NO,NO,NO,NO,NO,NO,TODO
043,Membership & Card,Membership Renewal Payment,same renewal flow,Complete approved payment,payment/renewal API,,NO,NO,NO,NO,NO,NO,NO,TODO
044,Membership & Card,Membership Renewal Success,same renewal flow,Confirm renewal,renewal result,,NO,NO,NO,NO,NO,NO,NO,TODO
045,Membership & Card,Membership Renewal Failure,same renewal flow,Recover from payment/renewal failure,renewal error,,NO,NO,NO,NO,NO,NO,NO,TODO
046,Membership & Card,Expired Membership,membership state,Explain expiry and supported actions,membership status,,NO,NO,NO,NO,NO,NO,NO,TODO
047,Membership & Card,Suspended Membership,membership state,Explain suspension and support,membership status,,NO,NO,NO,NO,NO,NO,NO,TODO
048,Cash Wallet,Cash Wallet Dashboard,/portal/customer/wallet,Show CASH balance and actions,customer wallet API,,NO,NO,NO,NO,NO,NO,NO,TODO
049,Cash Wallet,Wallet Transaction History,/portal/customer/wallet/transactions,Ledger history,wallet ledger API,,NO,NO,NO,NO,NO,NO,NO,TODO
050,Cash Wallet,Wallet Transaction Filters,same history surface,Filter credits/debits/refunds/status,wallet ledger API,,NO,NO,NO,NO,NO,NO,NO,TODO
051,Cash Wallet,Wallet Transaction Detail,/portal/customer/wallet/transactions/:id,Explain one ledger entry,wallet transaction API,,NO,NO,NO,NO,NO,NO,NO,TODO
052,Cash Wallet,Add Funds — Amount,/portal/customer/wallet/add-funds,Enter supported amount,payment/top-up config,,NO,NO,NO,NO,NO,NO,NO,TODO
053,Cash Wallet,Add Funds — Payment Method,same add-funds flow,Choose approved method,payment methods API,,NO,NO,NO,NO,NO,NO,NO,TODO
054,Cash Wallet,Add Funds — Review,same add-funds flow,Review authoritative amount/fees,top-up quote,,NO,NO,NO,NO,NO,NO,NO,TODO
055,Cash Wallet,Add Funds — Processing,same add-funds flow,Prevent duplicate submit,payment transaction,,NO,NO,NO,NO,NO,NO,NO,TODO
056,Cash Wallet,Add Funds — Success,same add-funds flow,Confirm credit after backend success,payment/wallet result,,NO,NO,NO,NO,NO,NO,NO,TODO
057,Cash Wallet,Add Funds — Failure,same add-funds flow,Recover safely,payment error,,NO,NO,NO,NO,NO,NO,NO,TODO
058,Cash Wallet,Wallet Statement,/portal/customer/wallet/statements,Statement periods/download,statement API,,NO,NO,NO,NO,NO,NO,NO,TODO
059,Cash Wallet,Statement Filters,same statement surface,Select range/type,statement API,,NO,NO,NO,NO,NO,NO,NO,TODO
060,Cash Wallet,Statement Download/Share,same statement surface,Authorized export,report API,,NO,NO,NO,NO,NO,NO,NO,TODO
061,Cash Wallet,Refund Detail,/portal/customer/wallet/refunds/:id,Explain refund status,wallet transaction/refund,,NO,NO,NO,NO,NO,NO,NO,TODO
062,Cash Wallet,Reversal Detail,/portal/customer/wallet/reversals/:id,Explain reversal,wallet transaction,,NO,NO,NO,NO,NO,NO,NO,TODO
063,Cash Wallet,Pending/Locked Balance,/portal/customer/wallet/locked,Explain unavailable amount,wallet holds API,,NO,NO,NO,NO,NO,NO,NO,TODO
064,Cash Wallet,Wallet Rules,/portal/customer/wallet/rules,Explain supported usage,wallet config/content,,NO,NO,NO,NO,NO,NO,NO,TODO
065,Reward Points,Reward Points Dashboard,/portal/customer/rewards,Available points and summary,REWARD_POINTS ledger,,NO,NO,NO,NO,NO,NO,NO,TODO
066,Reward Points,Reward History,/portal/customer/rewards/history,Reward ledger events,reward ledger API,,NO,NO,NO,NO,NO,NO,NO,TODO
067,Reward Points,Reward Transaction Detail,/portal/customer/rewards/history/:id,Explain one points event,reward transaction API,,NO,NO,NO,NO,NO,NO,NO,TODO
068,Reward Points,Pending Points,/portal/customer/rewards/pending,Pending qualification events,reward/referral API,,NO,NO,NO,NO,NO,NO,NO,TODO
069,Reward Points,Earned Points,/portal/customer/rewards/earned,Qualified credits,reward ledger API,,NO,NO,NO,NO,NO,NO,NO,TODO
070,Reward Points,Redeemed Points,/portal/customer/rewards/redeemed,Redemption history,reward ledger API,,NO,NO,NO,NO,NO,NO,NO,TODO
071,Reward Points,Expiring Points,/portal/customer/rewards/expiring,Expiry only when supported,reward rule API,,NO,NO,NO,NO,NO,NO,NO,TODO
072,Reward Points,How to Earn,/portal/customer/rewards/earn,Approved earning rules,reward rules,,NO,NO,NO,NO,NO,NO,NO,TODO
073,Reward Points,Reward Rules,/portal/customer/rewards/rules,Eligibility and limitations,reward rules,,NO,NO,NO,NO,NO,NO,NO,TODO
074,Reward Points,Redemption Catalogue,/portal/customer/rewards/redeem,Supported redemption choices,redemption config/API,,NO,NO,NO,NO,NO,NO,NO,TODO
075,Reward Points,Redemption Detail,/portal/customer/rewards/redeem/:id,Review selected redemption,redemption API,,NO,NO,NO,NO,NO,NO,NO,TODO
076,Reward Points,Redemption Review,same redemption flow,Confirm points/cost,redemption quote,,NO,NO,NO,NO,NO,NO,NO,TODO
077,Reward Points,Redemption Success,same redemption flow,Confirm persisted event,redemption result,,NO,NO,NO,NO,NO,NO,NO,TODO
078,Reward Points,Redemption Failure,same redemption flow,Recover safely,redemption error,,NO,NO,NO,NO,NO,NO,NO,TODO
079,Services & Providers,Services Landing,/portal/customer/services,Browse service families,service catalogue API,,NO,NO,NO,NO,NO,NO,NO,TODO
080,Services & Providers,Service Search,/portal/customer/services/search,Search services/providers,service/provider search,,NO,NO,NO,NO,NO,NO,NO,TODO
081,Services & Providers,Service Search Results,same search flow,Display categorized results,search API,,NO,NO,NO,NO,NO,NO,NO,TODO
082,Services & Providers,Service Categories,/portal/customer/services/categories,Browse categories,master data/API,,NO,NO,NO,NO,NO,NO,NO,TODO
083,Services & Providers,Service Category Detail,/portal/customer/services/categories/:id,Category services/providers,service API,,NO,NO,NO,NO,NO,NO,NO,TODO
084,Services & Providers,Service Filters and Sort,same listing surface,Filter location/type/availability,provider API,,NO,NO,NO,NO,NO,NO,NO,TODO
085,Services & Providers,Provider Listing,/portal/customer/providers,List eligible providers,provider API,,NO,NO,NO,NO,NO,NO,NO,TODO
086,Services & Providers,Provider Detail,/portal/customer/providers/:id,Provider branch/services/contact,provider profile API,,NO,NO,NO,NO,NO,NO,NO,TODO
087,Services & Providers,Doctor Listing,/portal/customer/doctors,List doctors,provider/practitioner API,,NO,NO,NO,NO,NO,NO,NO,TODO
088,Services & Providers,Doctor Profile,/portal/customer/doctors/:id,Doctor details and availability,practitioner API,,NO,NO,NO,NO,NO,NO,NO,TODO
089,Services & Providers,Lab Listing,/portal/customer/labs,List labs,provider API,,NO,NO,NO,NO,NO,NO,NO,TODO
090,Services & Providers,Lab Detail,/portal/customer/labs/:id,Lab services and availability,provider/service API,,NO,NO,NO,NO,NO,NO,NO,TODO
091,Services & Providers,Pharmacy Listing,/portal/customer/pharmacies,List pharmacies,provider API,,NO,NO,NO,NO,NO,NO,NO,TODO
092,Services & Providers,Pharmacy Detail,/portal/customer/pharmacies/:id,Pharmacy services and preferred action,provider API,,NO,NO,NO,NO,NO,NO,NO,TODO
093,Services & Providers,Dental Providers,/portal/customer/dental,Dental discovery,provider API,,NO,NO,NO,NO,NO,NO,NO,TODO
094,Services & Providers,Home Care,/portal/customer/home-care,Home-care services,service/provider API,,NO,NO,NO,NO,NO,NO,NO,TODO
095,Services & Providers,Dietitian,/portal/customer/dietitian,Dietitian services,service/provider API,,NO,NO,NO,NO,NO,NO,NO,TODO
096,Services & Providers,Cosmetic/Wellness Services,/portal/customer/wellness-services,Supported wellness services,service/provider API,,NO,NO,NO,NO,NO,NO,NO,TODO
097,Services & Providers,Nearby Services,/portal/customer/services/nearby,Location-aware list where supported,provider/location API,,NO,NO,NO,NO,NO,NO,NO,TODO
098,Services & Providers,Favourite Providers,/portal/customer/providers/favourites,Saved providers where supported,favourites API,,NO,NO,NO,NO,NO,NO,NO,TODO
099,Booking & Visits,Book Visit Start,/portal/customer/book,Start booking,service/provider APIs,,NO,NO,NO,NO,NO,NO,NO,TODO
100,Booking & Visits,Select Service,same booking flow,Choose service,service API,,NO,NO,NO,NO,NO,NO,NO,TODO
101,Booking & Visits,Select Provider,same booking flow,Choose provider/branch,provider API,,NO,NO,NO,NO,NO,NO,NO,TODO
102,Booking & Visits,Select Practitioner,same booking flow,Choose doctor/practitioner,practitioner API,,NO,NO,NO,NO,NO,NO,NO,TODO
103,Booking & Visits,Select Patient,same booking flow,Choose self/family where supported,customer/family API,,NO,NO,NO,NO,NO,NO,NO,TODO
104,Booking & Visits,Select Visit Type,same booking flow,In-person/online/home where supported,service config,,NO,NO,NO,NO,NO,NO,NO,TODO
105,Booking & Visits,Select Date,same booking flow,Choose date,availability API,,NO,NO,NO,NO,NO,NO,NO,TODO
106,Booking & Visits,Select Time Slot,same booking flow,Choose live slot,slot API,,NO,NO,NO,NO,NO,NO,NO,TODO
107,Booking & Visits,Booking Notes,same booking flow,Capture allowed notes,appointment DTO,,NO,NO,NO,NO,NO,NO,NO,TODO
108,Booking & Visits,Pricing and Coverage,same booking flow,Display backend quote/benefit,pricing evaluate API,,NO,NO,NO,NO,NO,NO,NO,TODO
109,Booking & Visits,Booking Review,same booking flow,Review details,booking draft/quote,,NO,NO,NO,NO,NO,NO,NO,TODO
110,Booking & Visits,Booking Confirmation,same booking flow,Confirm mutation,appointment API,,NO,NO,NO,NO,NO,NO,NO,TODO
111,Booking & Visits,Booking Success,same booking flow,Show persisted appointment,appointment result,,NO,NO,NO,NO,NO,NO,NO,TODO
112,Booking & Visits,Booking Failure,same booking flow,Retry without duplicates,appointment error,,NO,NO,NO,NO,NO,NO,NO,TODO
113,Booking & Visits,My Visits,/portal/customer/visits,Upcoming/completed/cancelled,appointment API,,NO,NO,NO,NO,NO,NO,NO,TODO
114,Booking & Visits,Visit Filters,same visits surface,Filter status/type/date,appointment API,,NO,NO,NO,NO,NO,NO,NO,TODO
115,Booking & Visits,Visit Detail,/portal/customer/visits/:id,Full appointment information,appointment API,,NO,NO,NO,NO,NO,NO,NO,TODO
116,Booking & Visits,Reschedule Visit,/portal/customer/visits/:id/reschedule,Select new slot,appointment API,,NO,NO,NO,NO,NO,NO,NO,TODO
117,Booking & Visits,Cancel Visit,/portal/customer/visits/:id/cancel,Confirm cancellation,appointment API,,NO,NO,NO,NO,NO,NO,NO,TODO
118,Booking & Visits,Cancellation Result,same cancel flow,Show status/refund effect,appointment result,,NO,NO,NO,NO,NO,NO,NO,TODO
119,Booking & Visits,Online Consultation Detail,/portal/customer/visits/:id/online,Join/instructions where supported,consultation API,,NO,NO,NO,NO,NO,NO,NO,TODO
120,Booking & Visits,No Available Slots,booking state,Truthful no-slot recovery,availability API,,NO,NO,NO,NO,NO,NO,NO,TODO
121,Documents & Prescriptions,Documents Landing,/portal/customer/documents,Document overview/categories,documents API,,NO,NO,NO,NO,NO,NO,NO,TODO
122,Documents & Prescriptions,Document Categories,/portal/customer/documents/categories,Browse supported types,document metadata,,NO,NO,NO,NO,NO,NO,NO,TODO
123,Documents & Prescriptions,Document List,/portal/customer/documents/list,List owned documents,documents API,,NO,NO,NO,NO,NO,NO,NO,TODO
124,Documents & Prescriptions,Document Detail,/portal/customer/documents/:id,Metadata/actions,document API,,NO,NO,NO,NO,NO,NO,NO,TODO
125,Documents & Prescriptions,Secure Document Viewer,/portal/customer/documents/:id/view,Authorized view,signed access API,,NO,NO,NO,NO,NO,NO,NO,TODO
126,Documents & Prescriptions,Upload Document,/portal/customer/documents/upload,Upload with metadata,document upload API,,NO,NO,NO,NO,NO,NO,NO,TODO
127,Documents & Prescriptions,Document Upload Progress,same upload flow,Progress/cancel/retry,upload API,,NO,NO,NO,NO,NO,NO,NO,TODO
128,Documents & Prescriptions,Document Share,/portal/customer/documents/:id/share,Authorized sharing where supported,document access API,,NO,NO,NO,NO,NO,NO,NO,TODO
129,Documents & Prescriptions,Document Download,same document surface,Authorized download,signed access API,,NO,NO,NO,NO,NO,NO,NO,TODO
130,Documents & Prescriptions,Lab Reports,/portal/customer/documents/lab-reports,Lab report list,documents/lab API,,NO,NO,NO,NO,NO,NO,NO,TODO
131,Documents & Prescriptions,Lab Result Detail,/portal/customer/documents/lab-reports/:id,View result safely,lab report API,,NO,NO,NO,NO,NO,NO,NO,TODO
132,Documents & Prescriptions,Medical Records,/portal/customer/documents/medical-records,Medical record grouping,documents API,,NO,NO,NO,NO,NO,NO,NO,TODO
133,Documents & Prescriptions,Vaccination Records,/portal/customer/documents/vaccinations,Vaccination records where supported,documents API,,NO,NO,NO,NO,NO,NO,NO,TODO
134,Documents & Prescriptions,Prescriptions List,/portal/customer/prescriptions,Owned prescriptions,documents/prescription API,,NO,NO,NO,NO,NO,NO,NO,TODO
135,Documents & Prescriptions,Upload Prescription,/portal/customer/prescriptions/upload,Upload prescription,document upload API,,NO,NO,NO,NO,NO,NO,NO,TODO
136,Documents & Prescriptions,Prescription Detail,/portal/customer/prescriptions/:id,Metadata/status/actions,prescription API,,NO,NO,NO,NO,NO,NO,NO,TODO
137,Documents & Prescriptions,Prescription Viewer,/portal/customer/prescriptions/:id/view,Secure view,signed access API,,NO,NO,NO,NO,NO,NO,NO,TODO
138,Documents & Prescriptions,Prescription Processing,prescription state,Show processing without invented OCR,document status,,NO,NO,NO,NO,NO,NO,NO,TODO
139,Documents & Prescriptions,Prescription Verified,prescription state,Show verified status,document status,,NO,NO,NO,NO,NO,NO,NO,TODO
140,Documents & Prescriptions,Prescription Rejected,prescription state,Explain rejection/reupload,document status,,NO,NO,NO,NO,NO,NO,NO,TODO
141,Documents & Prescriptions,Prescription to Pharmacy,/portal/customer/prescriptions/:id/pharmacy,Send/link where supported,pharmacy request API,,NO,NO,NO,NO,NO,NO,NO,TODO
142,Wellness Shop & Orders,Wellness Shop Landing,/portal/customer/shop,Catalogue landing,wellness products API,Authenticated shop route now resolves to the existing Services Wellness catalogue; dedicated presentation extraction remains next.,YES,YES,PARTIAL,YES,NO,NO,IN PROGRESS
143,Wellness Shop & Orders,Product Search,/portal/customer/shop/search,Search catalogue,product search API,,NO,NO,NO,NO,NO,NO,NO,TODO
144,Wellness Shop & Orders,Search Suggestions,same search surface,Suggestions/recent searches,search API/local history,,NO,NO,NO,NO,NO,NO,NO,TODO
145,Wellness Shop & Orders,Product Categories,/portal/customer/shop/categories,Browse categories,product categories API,,NO,NO,NO,NO,NO,NO,NO,TODO
146,Wellness Shop & Orders,Product Listing,/portal/customer/shop/products,List database products,products API,Active catalogue is API-backed with loading error retry and empty states; obsolete demo wording removed and product-detail route remains next.,YES,YES,PARTIAL,YES,NO,NO,IN PROGRESS
147,Wellness Shop & Orders,Product Filters,same listing surface,Category/brand/price/availability,products API,,NO,NO,NO,NO,NO,NO,NO,TODO
148,Wellness Shop & Orders,Product Sort,same listing surface,Sort supported fields,products API,,NO,NO,NO,NO,NO,NO,NO,TODO
149,Wellness Shop & Orders,Product Detail,/portal/customer/shop/products/:id,Product information/price/stock,product API,,NO,NO,NO,NO,NO,NO,NO,TODO
150,Wellness Shop & Orders,Product Image Gallery,same detail surface,View product images,product media API,,NO,NO,NO,NO,NO,NO,NO,TODO
151,Wellness Shop & Orders,Wishlist,/portal/customer/shop/wishlist,Saved products where supported,wishlist API,,NO,NO,NO,NO,NO,NO,NO,TODO
152,Wellness Shop & Orders,Cart,/portal/customer/shop/cart,Current customer cart,cart API,,NO,NO,NO,NO,NO,NO,NO,TODO
153,Wellness Shop & Orders,Cart Item Edit,same cart surface,Quantity/remove,cart API,,NO,NO,NO,NO,NO,NO,NO,TODO
154,Wellness Shop & Orders,Apply Coupon,same cart/checkout flow,Validate approved coupon,promotion API,,NO,NO,NO,NO,NO,NO,NO,TODO
155,Wellness Shop & Orders,Address Selection,/portal/customer/shop/checkout/address,Choose delivery address,address API,,NO,NO,NO,NO,NO,NO,NO,TODO
156,Wellness Shop & Orders,Add Delivery Address,same checkout flow,Create address,address API,,NO,NO,NO,NO,NO,NO,NO,TODO
157,Wellness Shop & Orders,Edit Delivery Address,same checkout flow,Update address,address API,,NO,NO,NO,NO,NO,NO,NO,TODO
158,Wellness Shop & Orders,Checkout,/portal/customer/shop/checkout,Checkout summary,checkout quote API,,NO,NO,NO,NO,NO,NO,NO,TODO
159,Wellness Shop & Orders,Payment Selection,same checkout flow,Select supported method,payment config,,NO,NO,NO,NO,NO,NO,NO,TODO
160,Wellness Shop & Orders,Wallet Payment Review,same checkout flow,Confirm wallet charge,checkout/payment API,,NO,NO,NO,NO,NO,NO,NO,TODO
161,Wellness Shop & Orders,Order Review,same checkout flow,Server-authoritative totals,checkout quote,,NO,NO,NO,NO,NO,NO,NO,TODO
162,Wellness Shop & Orders,Place Order Processing,same checkout flow,Idempotent creation,orders API,,NO,NO,NO,NO,NO,NO,NO,TODO
163,Wellness Shop & Orders,Order Success,same checkout flow,Show persisted order,orders API,,NO,NO,NO,NO,NO,NO,NO,TODO
164,Wellness Shop & Orders,Order Failure,same checkout flow,Recover safely,orders error,,NO,NO,NO,NO,NO,NO,NO,TODO
165,Wellness Shop & Orders,My Orders,/portal/customer/orders,List owned orders,orders API,,NO,NO,NO,NO,NO,NO,NO,TODO
166,Wellness Shop & Orders,Order Filters,same orders surface,Filter statuses/date,orders API,,NO,NO,NO,NO,NO,NO,NO,TODO
167,Wellness Shop & Orders,Order Detail,/portal/customer/orders/:id,Items/totals/status/address,order API,,NO,NO,NO,NO,NO,NO,NO,TODO
168,Wellness Shop & Orders,Order Tracking,/portal/customer/orders/:id/tracking,Status timeline,order events API,,NO,NO,NO,NO,NO,NO,NO,TODO
169,Wellness Shop & Orders,Cancel Order,/portal/customer/orders/:id/cancel,Cancel when eligible,orders API,,NO,NO,NO,NO,NO,NO,NO,TODO
170,Wellness Shop & Orders,Return Request,/portal/customer/orders/:id/return,Return where supported,return API,,NO,NO,NO,NO,NO,NO,NO,TODO
171,Wellness Shop & Orders,Refund Status,/portal/customer/orders/:id/refund,Refund lifecycle,refund/payment API,,NO,NO,NO,NO,NO,NO,NO,TODO
172,Wellness Shop & Orders,Reorder,/portal/customer/orders/:id/reorder,Create cart from prior order,cart/orders API,,NO,NO,NO,NO,NO,NO,NO,TODO
173,Referrals,Referral Dashboard,/portal/customer/referrals,Summary and code,referral summary API,,NO,NO,NO,NO,NO,NO,NO,TODO
174,Referrals,Referral Code,same referral surface,Display unique code,referral API,,NO,NO,NO,NO,NO,NO,NO,TODO
175,Referrals,Referral QR,/portal/customer/referrals/qr,Shareable QR,referral API,,NO,NO,NO,NO,NO,NO,NO,TODO
176,Referrals,Share Referral,same referral surface,Native/web share,referral link API,,NO,NO,NO,NO,NO,NO,NO,TODO
177,Referrals,Referral History,/portal/customer/referrals/history,Owned referrals,referral API,,NO,NO,NO,NO,NO,NO,NO,TODO
178,Referrals,Referral Detail,/portal/customer/referrals/:id,Privacy-safe status,referral API,,NO,NO,NO,NO,NO,NO,NO,TODO
179,Referrals,Pending Referrals,/portal/customer/referrals/pending,Awaiting qualification,referral API,,NO,NO,NO,NO,NO,NO,NO,TODO
180,Referrals,Qualified Referrals,/portal/customer/referrals/qualified,Qualified status,referral API,,NO,NO,NO,NO,NO,NO,NO,TODO
181,Referrals,Rewarded Referrals,/portal/customer/referrals/rewarded,Rewarded status,referral/reward API,,NO,NO,NO,NO,NO,NO,NO,TODO
182,Referrals,Rejected Referrals,/portal/customer/referrals/rejected,Rejected status/reason,referral API,,NO,NO,NO,NO,NO,NO,NO,TODO
183,Referrals,Referral Rewards,/portal/customer/referrals/rewards,Reward events,reward ledger API,,NO,NO,NO,NO,NO,NO,NO,TODO
184,Referrals,Referral Rules,/portal/customer/referrals/rules,Qualification rules,referral config/content,,NO,NO,NO,NO,NO,NO,NO,TODO
185,Activity & Notifications,Activity Timeline,/portal/customer/activity,Customer event history,timeline API,,NO,NO,NO,NO,NO,NO,NO,TODO
186,Activity & Notifications,Activity Detail,/portal/customer/activity/:id,Event detail,timeline API,,NO,NO,NO,NO,NO,NO,NO,TODO
187,Activity & Notifications,Activity Filters,same activity surface,Filter event types/date,timeline API,,NO,NO,NO,NO,NO,NO,NO,TODO
188,Activity & Notifications,Notifications Inbox,/portal/customer/notifications,Live inbox,notifications API,,NO,NO,NO,NO,NO,NO,NO,TODO
189,Activity & Notifications,Notification Filters,same notification surface,Filter type/read state,notifications API,,NO,NO,NO,NO,NO,NO,NO,TODO
190,Activity & Notifications,Notification Detail,/portal/customer/notifications/:id,Read detail/action,notifications API,,NO,NO,NO,NO,NO,NO,NO,TODO
191,Activity & Notifications,Mark All Read,same notification surface,Persist read state,notifications API,,NO,NO,NO,NO,NO,NO,NO,TODO
192,Activity & Notifications,Notification Preferences,/portal/customer/settings/notifications,Channel/type preferences,preference API,,NO,NO,NO,NO,NO,NO,NO,TODO
193,Activity & Notifications,Service Notifications,notification filter/state,Service events,notifications API,,NO,NO,NO,NO,NO,NO,NO,TODO
194,Activity & Notifications,Order Notifications,notification filter/state,Order events,notifications API,,NO,NO,NO,NO,NO,NO,NO,TODO
195,Activity & Notifications,Reward Notifications,notification filter/state,Reward events,notifications API,,NO,NO,NO,NO,NO,NO,NO,TODO
196,Activity & Notifications,Membership/Card Notifications,notification filter/state,Membership/card events,notifications API,,NO,NO,NO,NO,NO,NO,NO,TODO
197,Profile & Family,Profile,/portal/customer/profile,Customer account overview,authenticated customer profile API,Inline profile has real loading retry and populated states plus membership navigation.,YES,YES,YES,YES,NO,NO,IN PROGRESS
198,Profile & Family,Edit Profile,/portal/customer/profile/edit,Update allowed fields,authenticated customer update API,Existing profile surface edits only supported customer fields with validation saving success retry and dirty-discard confirmation states.,YES,YES,YES,YES,NO,NO,IN PROGRESS
199,Profile & Family,Personal Details,/portal/customer/profile/personal,View demographic fields,authenticated customer profile API,Demographic values are customer scoped and rendered on the existing profile surface.,YES,YES,YES,YES,NO,NO,IN PROGRESS
